,ML,loss,Input Num,Input,MAPE train(%),MAPE val(%),MAPE test(%),Leave One
1761,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'gpu_architecture', 'gpu_core', 'VRAM(GB)']",2.78124,3.47191,22.00075,1th Xeon Gold - GTX1080
1762,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'gpu_architecture', 'gpu_core', 'VRAM(GB)']",2.66224,3.25215,20.83987,9th corei7 - RTX2080 Ti
1763,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'gpu_architecture', 'gpu_core', 'VRAM(GB)']",2.66885,3.11337,18.28431,13th corei7 - RTX4070
1764,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'gpu_architecture', 'gpu_boost_clock(GHz)', 'VRAM(GB)']",2.78883,3.20383,47.3617,13th corei5 - RTX3060 Ti
1765,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'gpu_architecture', 'gpu_boost_clock(GHz)', 'VRAM(GB)']",2.83072,3.27973,21.26804,13th corei7 - GTX1080
1766,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'gpu_architecture', 'gpu_boost_clock(GHz)', 'VRAM(GB)']",2.90013,3.52862,62.43489,13th corei5 - GTX1650
1767,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'gpu_architecture', 'gpu_boost_clock(GHz)', 'VRAM(GB)']",2.43156,3.00439,27.5437,1th Xeon Gold - RTX4070
1768,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'gpu_architecture', 'gpu_boost_clock(GHz)', 'VRAM(GB)']",2.78927,3.49554,6.82582,13th corei7 - RTX3050
1769,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'gpu_architecture', 'gpu_boost_clock(GHz)', 'VRAM(GB)']",2.55941,3.28749,13.30149,13th corei5 - GTX1080
1770,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'gpu_architecture', 'gpu_boost_clock(GHz)', 'VRAM(GB)']",2.47432,3.17217,42.43454,13th corei5 - RTX4070
1771,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'gpu_architecture', 'gpu_boost_clock(GHz)', 'VRAM(GB)']",2.45777,3.04939,10.15284,13th corei7 - RTX3060 Ti
1772,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'gpu_architecture', 'gpu_boost_clock(GHz)', 'VRAM(GB)']",2.75103,3.48131,5.04579,13th corei5 - RTX3050
1773,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'gpu_architecture', 'gpu_boost_clock(GHz)', 'VRAM(GB)']",2.7224,3.42917,15.86701,1th Xeon Gold - GTX1080
1774,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'gpu_architecture', 'gpu_boost_clock(GHz)', 'VRAM(GB)']",2.73099,3.19049,18.62508,9th corei7 - RTX2080 Ti
